1st Term GPA,2nd Term GPA,First Language,Funding,School,Fast Track,Coop,Residency,Gender,Prev Education,Age Group,High School Average Mark,Math Score,English Grade,FirstYearPersistence
2.875,3.068182,Other,Intl Regular,6.0,Yes,No,International,Male,PostSecondary,21 to 25,,,Level-161,1.0
3.826087,3.704545,English,GPOG_FT,6.0,No,No,Domestic,Female,HighSchool,36 to 40,80.0,26.0,Level-170,1.0
3.32,1.333333,English,GPOG_FT,6.0,No,No,Domestic,Male,HighSchool,21 to 25,,32.0,Level-170,1.0
2.875,2.795455,English,GPOG_FT,6.0,No,Yes,Domestic,Male,HighSchool,0 to 18,88.0,43.0,Level-170,1.0
3.456522,3.52381,Other,GPOG_FT,6.0,No,Yes,Domestic,Female,HighSchool,19 to 20,90.0,40.0,Level-161,1.0
2.695652,2.630435,English,Apprentice_PS,6.0,No,Yes,Domestic,Male,HighSchool,0 to 18,73.0,29.0,Level-170,1.0
3.06,3.304348,Other,Intl Regular,6.0,Yes,No,International,Male,PostSecondary,21 to 25,,45.0,Level-161,1.0
3.277778,3.44,Other,Intl Regular,6.0,Yes,No,International,Male,HighSchool,21 to 25,,,Level-170,1.0
0.2,0.0,Other,GPOG_FT,6.0,No,Yes,Domestic,Male,0,21 to 25,17.0,23.0,Level-170,0.0
2.94,1.727273,English,GPOG_FT,6.0,No,No,Domestic,Female,HighSchool,19 to 20,75.0,19.0,Level-170,0.0
0.0,,English,GPOG_FT,6.0,No,No,Domestic,Male,0,26 to 30,50.0,26.0,Level-170,0.0
1.857143,,,Intl Regular,6.0,No,No,International,Male,HighSchool,0 to 18,,47.0,Level-160,0.0
3.804348,3.714286,Other,Intl Regular,6.0,No,No,International,Female,PostSecondary,19 to 20,,40.0,Level-141,1.0
4.065217,3.72,English,GPOG_FT,6.0,Yes,Yes,Domestic,Male,PostSecondary,21 to 25,74.0,,Level-170,1.0
1.526316,0.157895,English,GPOG_FT,6.0,No,No,Domestic,Male,HighSchool,19 to 20,48.0,21.0,Level-160,0.0
1.710526,0.346154,French,GPOG_FT,6.0,No,Yes,Domestic,Male,HighSchool,19 to 20,63.0,10.0,Level-160,0.0
2.956522,3.52381,Other,Intl Regular,6.0,No,No,International,Female,PostSecondary,0 to 18,,35.0,Level-161,1.0
2.157895,3.552632,Other,Intl Regular,6.0,No,Yes,International,Male,HighSchool,19 to 20,75.0,49.0,Level-161,1.0
4.02381,4.184211,Other,GPOG_FT,6.0,No,No,Domestic,Male,PostSecondary,31 to 35,,44.0,Level-171,0.0
1.975,0.0,English,GPOG_FT,6.0,No,No,Domestic,Male,HighSchool,21 to 25,69.0,,Level-170,1.0
0.4375,0.0,English,GPOG_FT,6.0,No,No,Domestic,Male,HighSchool,0 to 18,72.0,20.0,Level-160,0.0
3.925,3.02381,English,GPOG_FT,6.0,No,No,Domestic,Male,0,26 to 30,,39.0,Level-160,1.0
2.571429,2.388889,English,GPOG_FT,6.0,No,Yes,Domestic,Male,HighSchool,0 to 18,87.0,38.0,Level-170,1.0
3.4,3.326087,English,GPOG_FT,6.0,No,No,Domestic,Male,HighSchool,21 to 25,79.0,35.0,Level-140,1.0
3.521739,3.288462,Other,Intl Regular,6.0,Yes,No,International,Female,HighSchool,21 to 25,,,Level-160,1.0
0.543478,0.0,Other,Intl Regular,6.0,No,No,International,Male,HighSchool,21 to 25,,27.0,,1.0
2.369565,2.6875,English,GPOG_FT,6.0,No,Yes,Domestic,Female,HighSchool,0 to 18,86.0,22.0,Level-171,1.0
3.347826,2.704545,Other,Intl Regular,6.0,No,No,International,Female,HighSchool,0 to 18,,31.0,Level-141,1.0
3.456522,2.98,Other,Intl Regular,6.0,Yes,No,International,Male,PostSecondary,21 to 25,,,Level-170,1.0
,,Other,Intl Regular,6.0,No,No,International,Female,HighSchool,0 to 18,,19.0,Level-160,0.0
3.880952,3.434783,English,GPOG_FT,6.0,No,Yes,Domestic,Male,HighSchool,0 to 18,82.0,42.0,Level-170,1.0
1.541667,1.934783,English,GPOG_FT,6.0,No,No,Domestic,Male,HighSchool,0 to 18,74.0,24.0,Level-170,1.0
3.56,3.318182,English,GPOG_FT,6.0,No,Yes,Domestic,Male,HighSchool,0 to 18,80.0,29.0,Level-170,1.0
0.157895,0.0,English,GPOG_FT,6.0,No,Yes,Domestic,Male,HighSchool,0 to 18,77.0,19.0,Level-160,0.0
3.854167,3.66,,Intl Regular,6.0,No,No,International,Male,HighSchool,19 to 20,,49.0,Level-161,1.0
2.58,2.282609,English,GPOG_FT,6.0,No,No,Domestic,Male,HighSchool,19 to 20,67.0,19.0,Level-160,1.0
3.882353,3.605263,English,GPOG_FT,6.0,No,No,Domestic,Male,PostSecondary,21 to 25,84.0,25.0,Level-170,1.0
2.210526,2.363636,English,Second Career Program,6.0,No,No,Domestic,Male,HighSchool,41 to 50,,16.0,Level-170,1.0
4.217391,4.333333,Other,GPOG_FT,6.0,No,No,Domestic,Female,PostSecondary,41 to 50,,46.0,Level-171,1.0
3.354167,3.681818,English,GPOG_FT,6.0,No,No,Domestic,Male,HighSchool,19 to 20,81.0,20.0,Level-160,1.0
2.928571,2.375,English,GPOG_FT,6.0,No,Yes,Domestic,Male,HighSchool,21 to 25,65.0,36.0,Level-170,1.0
3.452381,1.090909,Other,Intl Regular,6.0,No,Yes,International,Male,HighSchool,21 to 25,,47.0,Level-171,1.0
3.068182,2.977273,English,GPOG_FT,6.0,No,Yes,Domestic,Male,HighSchool,19 to 20,77.0,32.0,,1.0
3.818182,3.75,Other,Intl Regular,6.0,No,No,International,Male,HighSchool,19 to 20,,47.0,Level-171,1.0
1.230769,1.625,English,GPOG_FT,6.0,No,No,Domestic,Male,HighSchool,0 to 18,72.0,23.0,Level-160,1.0
3.916667,3.815789,English,GPOG_FT,6.0,No,No,Domestic,Male,HighSchool,0 to 18,93.0,39.0,Level-170,1.0
1.176471,1.95,English,GPOG_FT,6.0,No,Yes,Domestic,Male,HighSchool,19 to 20,52.0,16.0,Level-160,1.0
2.275,1.9,Other,Intl Regular,6.0,Yes,No,International,Male,PostSecondary,21 to 25,,,Level-141,0.0
3.875,4.119048,English,GPOG_FT,6.0,No,No,Domestic,Male,HighSchool,0 to 18,85.0,40.0,Level-171,1.0
1.568182,,English,GPOG_FT,6.0,No,No,Domestic,Male,0,21 to 25,60.0,29.0,Level-161,0.0
4.434783,4.46,English,GPOG_FT,6.0,Yes,No,Domestic,Female,PostSecondary,21 to 25,,,Level-170,1.0
2.416667,2.365385,Other,Intl Regular,6.0,Yes,No,International,Female,HighSchool,21 to 25,,,Level-160,1.0
1.59375,2.978261,Other,GPOG_FT,6.0,No,Yes,Domestic,Male,HighSchool,0 to 18,,36.0,Level-160,1.0
2.304348,1.809524,Other,Intl Regular,6.0,Yes,No,International,Male,PostSecondary,21 to 25,,,Level-161,1.0
3.5,3.5,Other,Intl Regular,6.0,Yes,No,International,Female,PostSecondary,21 to 25,,,Level-141,1.0
0.0,,English,GPOG_FT,6.0,No,No,Domestic,Male,HighSchool,0 to 18,77.0,29.0,Level-160,0.0
4.095238,3.97619,English,GPOG_FT,6.0,No,No,Domestic,Female,HighSchool,0 to 18,102.0,,Level-170,1.0
3.354167,3.821429,Other,Intl Regular,6.0,Yes,No,International,Male,PostSecondary,21 to 25,,,Level-161,1.0
0.0,,Other,Intl Regular,6.0,Yes,No,International,Male,PostSecondary,21 to 25,,,Level-161,0.0
3.083333,3.522727,English,GPOG_FT,6.0,No,Yes,Domestic,Male,HighSchool,21 to 25,96.0,42.0,Level-170,0.0
4.261905,4.340909,English,Second Career Program,6.0,No,No,Domestic,Male,PostSecondary,51 to 60,,38.0,Level-170,1.0
4.23913,4.0,English,GPOG_FT,6.0,No,Yes,Domestic,Female,PostSecondary,21 to 25,92.0,26.0,Level-170,1.0
2.9,2.886364,Other,Intl Regular,6.0,Yes,No,International,Male,PostSecondary,21 to 25,,,Level-161,1.0
3.5,3.692308,Other,Intl Regular,6.0,Yes,No,International,Female,PostSecondary,26 to 30,,,Level-161,1.0
3.565217,3.28,Other,Intl Regular,6.0,Yes,No,International,Male,HighSchool,19 to 20,,,Level-170,1.0
1.525,0.0,English,GPOG_FT,6.0,No,No,Domestic,Male,HighSchool,19 to 20,73.0,16.0,Level-170,0.0
2.0,1.388889,English,GPOG_FT,6.0,No,Yes,Domestic,Male,HighSchool,0 to 18,78.0,22.0,Level-160,0.0
1.285714,1.458333,Other,Intl Regular,6.0,Yes,No,International,Female,PostSecondary,21 to 25,,,Level-171,1.0
0.0,,English,GPOG_FT,6.0,No,No,Domestic,Male,HighSchool,26 to 30,53.0,25.0,Level-170,0.0
3.409091,3.194444,English,GPOG_FT,6.0,No,No,Domestic,Male,HighSchool,21 to 25,48.0,15.0,Level-170,1.0
3.173913,3.18,Other,Intl Regular,6.0,Yes,No,International,Male,PostSecondary,21 to 25,,,Level-171,1.0
2.1,2.386364,,Intl Regular,6.0,No,No,International,Male,HighSchool,21 to 25,,44.0,Level-161,0.0
3.025,3.275,English,GPOG_FT,6.0,No,No,Domestic,Male,HighSchool,0 to 18,82.0,29.0,Level-170,1.0
2.434783,2.307692,Other,Intl Regular,6.0,Yes,No,International,Male,HighSchool,21 to 25,,,Level-161,1.0
3.568182,3.236842,Other,Intl Regular,6.0,No,No,International,Male,PostSecondary,0 to 18,,45.0,Level-170,1.0
2.90625,1.884615,Other,GPOG_FT,6.0,No,No,Domestic,Male,HighSchool,0 to 18,79.0,27.0,Level-170,1.0
3.35,3.361111,Other,GPOG_FT,6.0,No,No,Domestic,Female,PostSecondary,21 to 25,,46.0,Level-141,1.0
4.131579,3.891304,French,GPOG_FT,6.0,No,No,Domestic,Male,PostSecondary,36 to 40,,46.0,Level-161,1.0
4.357143,4.409091,English,GPOG_FT,6.0,No,No,Domestic,Male,HighSchool,21 to 25,85.0,48.0,Level-171,1.0
4.076923,4.434783,English,GPOG_FT,6.0,Yes,No,Domestic,Male,PostSecondary,41 to 50,93.0,,Level-171,1.0
0.947368,2.03125,English,GPOG_FT,6.0,No,No,Domestic,Female,HighSchool,0 to 18,78.0,14.0,Level-160,0.0
4.08,4.175,English,GPOG_FT,6.0,No,No,Domestic,Male,PostSecondary,41 to 50,,21.0,Level-170,1.0
3.895833,3.857143,English,GPOG_FT,6.0,No,No,Domestic,Female,PostSecondary,19 to 20,86.0,21.0,Level-170,1.0
2.289474,2.478261,English,GPOG_FT,6.0,No,No,Domestic,Male,HighSchool,19 to 20,,15.0,Level-160,1.0
3.16,3.545455,English,GPOG_FT,6.0,No,No,Domestic,Female,HighSchool,0 to 18,97.0,38.0,Level-170,1.0
3.428571,3.4,Other,Intl Regular,6.0,No,No,International,Male,HighSchool,26 to 30,,43.0,Level-161,1.0
3.541667,3.021739,English,GPOG_FT,6.0,No,No,Domestic,Male,HighSchool,19 to 20,90.0,30.0,Level-170,1.0
3.904762,2.590909,Other,Intl Regular,6.0,No,No,International,Male,PostSecondary,0 to 18,,42.0,Level-170,1.0
4.285714,4.019231,Other,Intl Transfer,6.0,No,No,International,Female,HighSchool,21 to 25,,49.0,Level-161,1.0
3.942308,3.769231,Other,Intl Regular,6.0,Yes,Yes,International,Male,PostSecondary,21 to 25,,,Level-141,1.0
3.673913,3.942308,,Intl Regular,6.0,Yes,No,International,Male,PostSecondary,31 to 35,,,Level-160,1.0
3.880952,3.0,English,GPOG_FT,6.0,No,Yes,Domestic,Female,HighSchool,0 to 18,90.0,43.0,Level-170,1.0
3.52,3.391304,English,GPOG_FT,6.0,No,No,Domestic,Male,HighSchool,0 to 18,89.0,40.0,Level-140,1.0
3.916667,3.769231,Other,GPOG_FT,6.0,Yes,Yes,Domestic,Male,PostSecondary,41 to 50,,,Level-171,1.0
3.708333,3.25,,Intl Transfer,6.0,No,No,International,Male,HighSchool,19 to 20,,48.0,Level-160,1.0
3.804348,3.565217,English,GPOG_FT,6.0,No,No,Domestic,Male,HighSchool,0 to 18,83.0,39.0,Level-170,1.0
4.021739,3.74,English,GPOG_FT,6.0,Yes,No,Domestic,Female,PostSecondary,31 to 35,,,Level-171,1.0
3.041667,3.303571,Other,Intl Regular,6.0,Yes,No,International,Male,HighSchool,26 to 30,,,Level-160,1.0
2.421053,1.076923,English,GPOG_FT,6.0,No,No,Domestic,Male,HighSchool,19 to 20,67.0,24.0,Level-160,1.0
2.833333,3.318182,Other,GPOG_FT,6.0,No,No,Domestic,Male,PostSecondary,21 to 25,,,Level-161,0.0
4.304348,4.0,English,GPOG_FT,6.0,No,Yes,Domestic,Female,PostSecondary,21 to 25,97.0,44.0,Level-170,1.0
4.238095,3.891304,Other,GPOG_FT,6.0,No,No,Domestic,Male,PostSecondary,36 to 40,,48.0,Level-171,1.0
3.568182,3.148148,Other,Intl Regular,6.0,Yes,No,International,Male,HighSchool,26 to 30,,,Level-170,1.0
4.022727,3.796296,Other,Intl Regular,6.0,Yes,No,International,Male,HighSchool,21 to 25,,,Level-171,1.0
2.416667,3.527778,Other,Intl Regular,6.0,No,No,International,Male,PostSecondary,0 to 18,,49.0,Level-171,1.0
0.0,,English,GPOG_FT,6.0,No,No,Domestic,Male,HighSchool,21 to 25,,,Level-170,0.0
4.434783,4.277778,Other,Intl Regular,6.0,No,No,International,Male,PostSecondary,19 to 20,,49.0,Level-171,1.0
2.090909,1.833333,English,GPOG_FT,6.0,No,No,Domestic,Male,HighSchool,19 to 20,60.0,17.0,Level-140,1.0
3.04,3.083333,English,Apprentice_PS,6.0,No,Yes,Domestic,Male,HighSchool,26 to 30,61.0,27.0,Level-170,1.0
2.891304,2.788462,Other,Intl Regular,6.0,Yes,No,International,Male,PostSecondary,26 to 30,,,Level-161,1.0
3.55,3.6,English,GPOG_FT,6.0,No,No,Domestic,Male,PostSecondary,21 to 25,81.0,37.0,Level-170,1.0
2.386364,,Other,Intl Regular,6.0,Yes,No,International,Male,HighSchool,21 to 25,,,Level-140,0.0
2.15,,Other,Intl Regular,6.0,Yes,No,International,Male,PostSecondary,21 to 25,,28.0,Level-170,0.0
0.0,0.0,Other,GPOG_FT,6.0,No,Yes,Domestic,Female,HighSchool,0 to 18,63.0,26.0,Level-160,0.0
0.0,0.0,English,GPOG_FT,6.0,No,No,Domestic,Male,HighSchool,0 to 18,72.0,37.0,Level-160,0.0
0.0,1.45,English,GPOG_FT,6.0,No,Yes,Domestic,Male,HighSchool,19 to 20,45.0,,Level-131,1.0
3.857143,3.568182,Other,Intl Regular,6.0,No,No,International,Female,PostSecondary,19 to 20,,38.0,Level-171,1.0
3.833333,3.464286,Other,Intl Regular,6.0,Yes,Yes,International,Male,HighSchool,21 to 25,,,Level-161,1.0
4.0,3.630435,Other,Intl Regular,6.0,No,No,International,Male,PostSecondary,0 to 18,,45.0,Level-161,1.0
3.227273,3.136364,English,GPOG_FT,6.0,No,Yes,Domestic,Male,HighSchool,0 to 18,74.0,41.0,Level-161,1.0
3.043478,3.166667,Other,GPOG_FT,6.0,No,No,Domestic,Male,PostSecondary,19 to 20,85.0,38.0,Level-170,1.0
3.547619,3.282609,English,GPOG_FT,6.0,No,No,Domestic,Male,HighSchool,21 to 25,54.0,12.0,Level-161,1.0
3.078947,2.636364,English,GPOG_FT,6.0,No,No,Domestic,Male,HighSchool,26 to 30,68.0,22.0,Level-160,1.0
0.24,0.0,English,GPOG_FT,6.0,No,No,Domestic,Male,HighSchool,21 to 25,,17.0,Level-160,0.0
2.722222,2.659091,Other,Intl Regular,6.0,No,No,International,Male,PostSecondary,0 to 18,,21.0,Level-161,1.0
2.55,2.772727,Other,Intl Regular,6.0,Yes,No,International,Male,HighSchool,21 to 25,,,Level-160,1.0
3.5,3.416667,Other,GPOG_FT,6.0,No,Yes,Domestic,Female,PostSecondary,31 to 35,80.0,43.0,Level-141,1.0
3.06,2.538462,Other,Intl Regular,6.0,Yes,No,International,Female,PostSecondary,21 to 25,,,Level-161,1.0
2.525,2.261905,Other,Intl Regular,6.0,Yes,No,International,Male,PostSecondary,21 to 25,,,Level-171,1.0
0.54,,English,GPOG_FT,6.0,No,Yes,Domestic,Male,HighSchool,0 to 18,66.0,24.0,Level-160,0.0
3.568182,3.763158,Other,GPOG_FT,6.0,No,No,Domestic,Female,PostSecondary,21 to 25,94.0,38.0,Level-171,0.0
3.272727,1.5,English,GPOG_FT,6.0,No,No,Domestic,Male,HighSchool,0 to 18,76.0,,Level-160,1.0
2.521739,2.7,Other,Intl Regular,6.0,Yes,No,International,Male,HighSchool,21 to 25,,,Level-171,0.0
4.065217,3.934783,,Intl Transfer,6.0,No,No,International,Male,HighSchool,31 to 35,,49.0,Level-161,1.0
3.222222,3.448276,Other,Intl Regular,6.0,Yes,No,International,Male,HighSchool,21 to 25,,,Level-160,1.0
4.159091,4.236842,Other,Intl Regular,6.0,No,No,International,Male,0,36 to 40,,48.0,Level-171,0.0
0.0,,Other,Intl Regular,6.0,No,No,International,Female,PostSecondary,19 to 20,,,Level-161,0.0
2.357143,2.970588,English,GPOG_FT,6.0,No,No,Domestic,Female,HighSchool,21 to 25,81.0,32.0,Level-170,1.0
4.194444,4.055556,English,GPOG_FT,6.0,No,No,Domestic,Female,PostSecondary,21 to 25,94.0,,Level-170,1.0
4.095238,4.222222,English,GPOG_FT,6.0,No,No,Domestic,Female,PostSecondary,21 to 25,102.0,,Level-170,1.0
3.729167,3.729167,Other,Intl Regular,6.0,No,No,International,Male,HighSchool,21 to 25,,45.0,Level-161,1.0
3.454545,,Other,GPOG_FT,6.0,No,No,Domestic,Male,HighSchool,21 to 25,78.0,23.0,Level-160,0.0
3.08,2.65,Other,GPOG_FT,6.0,No,Yes,Domestic,Female,HighSchool,0 to 18,85.0,35.0,Level-160,1.0
3.5,2.846154,Other,GPOG_FT,6.0,No,No,Domestic,Female,PostSecondary,36 to 40,,47.0,Level-141,1.0
3.0,,English,GPOG_FT,6.0,No,Yes,Domestic,Male,PostSecondary,21 to 25,83.0,26.0,Level-170,0.0
2.447368,2.394737,Other,Intl Regular,6.0,No,No,International,Male,HighSchool,19 to 20,,,Level-160,1.0
0.0,,Other,GPOG_FT,6.0,No,No,Domestic,Male,HighSchool,19 to 20,55.0,12.0,Level-141,0.0
0.0,0.0,English,GPOG_FT,6.0,No,No,Domestic,Male,HighSchool,0 to 18,72.0,29.0,Level-160,1.0
2.9,3.0,English,GPOG_FT,6.0,No,No,Domestic,Female,PostSecondary,21 to 25,68.0,,Level-170,1.0
2.2,3.125,English,GPOG_FT,6.0,No,Yes,Domestic,Female,PostSecondary,36 to 40,,19.0,Level-170,1.0
2.1,0.596154,English,Apprentice_PS,6.0,No,Yes,Domestic,Male,HighSchool,0 to 18,71.0,22.0,Level-170,0.0
2.04,1.159091,English,GPOG_FT,6.0,No,No,Domestic,Male,PostSecondary,21 to 25,73.0,32.0,Level-170,1.0
1.26087,,English,GPOG_FT,6.0,No,Yes,Domestic,Male,HighSchool,19 to 20,75.0,21.0,Level-161,0.0
3.02,2.15,English,GPOG_FT,6.0,No,No,Domestic,Male,HighSchool,21 to 25,82.0,48.0,Level-170,1.0
3.913043,2.833333,English,GPOG_FT,6.0,Yes,No,Domestic,Male,PostSecondary,21 to 25,,,Level-171,0.0
3.73913,3.809524,Other,Intl Regular,6.0,No,Yes,International,Male,HighSchool,19 to 20,92.0,47.0,Level-161,1.0
3.159091,3.409091,,Second Career Program,6.0,No,No,Domestic,Male,,,,41.0,Level-160,1.0
4.5,4.333333,English,GPOG_FT,6.0,No,No,Domestic,Male,PostSecondary,21 to 25,104.0,,Level-170,1.0
2.472222,2.65625,Other,Intl Regular,6.0,No,No,International,Male,HighSchool,19 to 20,88.0,42.0,Level-171,1.0
3.021739,3.833333,,Intl Regular,6.0,No,No,International,Male,HighSchool,0 to 18,,39.0,Level-170,1.0
,,English,GPOG_FT,6.0,No,No,Domestic,Male,HighSchool,0 to 18,66.0,17.0,Level-160,0.0
3.759259,4.019231,Other,Intl Regular,6.0,Yes,No,International,Male,PostSecondary,21 to 25,,,Level-161,1.0
4.22,4.136364,English,GPOG_FT,6.0,No,Yes,Domestic,Female,HighSchool,0 to 18,92.0,47.0,Level-170,1.0
0.32,,English,GPOG_FT,6.0,No,No,Domestic,Male,0,21 to 25,53.0,15.0,Level-170,0.0
3.73913,3.571429,Other,Intl Regular,6.0,Yes,No,International,Male,PostSecondary,21 to 25,,,Level-171,1.0
2.15,,Other,Intl Regular,6.0,Yes,No,International,Male,HighSchool,21 to 25,,,Level-160,0.0
2.428571,1.0,English,GPOG_FT,6.0,No,No,Domestic,Male,HighSchool,0 to 18,63.0,21.0,Level-160,0.0
3.434783,3.428571,Other,Intl Regular,6.0,No,No,International,Female,HighSchool,19 to 20,,37.0,Level-141,1.0
1.535714,1.117647,Other,Intl Regular,6.0,Yes,No,International,Male,PostSecondary,21 to 25,,,Level-161,1.0
0.705882,,Other,GPOG_FT,6.0,No,Yes,Domestic,Male,PostSecondary,21 to 25,,47.0,,0.0
